7.8,851
7.9,849
7.9,852
8.0,853
8.0,853
8.1,850
8.1,850
8.2,852
8.2,854
8.3,853
8.3,850
8.4,850
8.4,852
8.5,853
8.5,853
8.6,850
8.6,851
8.7,852
8.7,854
8.8,852
8.8,850
8.9,851
8.9,853
9.0,855
9.0,852
9.1,850
9.1,852
9.2,854
9.2,855
9.3,851
9.3,849
9.4,852
9.4,854
9.5,853
9.5,851
9.6,851
9.6,852
9.7,854
9.7,854
9.8,851
9.8,851
9.9,853
9.9,854
10.0,855
10.0,852
10.1,849
10.1,853
10.2,855
10.2,852
10.3,851
10.3,857
10.4,858
10.4,855
10.5,850
10.5,851
10.6,856
10.6,854
10.7,851
10.7,851
10.8,853
10.8,854
10.9,852
10.9,852
11.0,853
11.0,854
11.1,853
11.1,850
11.2,852
11.2,854
11.3,854
11.3,851
11.4,851
11.4,852
11.5,854
11.5,852
11.6,850
11.6,850
11.7,853
11.7,853
11.8,850
11.8,850
11.9,853
11.9,854
12.0,851
12.0,849
12.1,853
12.1,853
12.2,853
12.2,849
12.3,851
12.3,853
12.4,853
12.4,850
12.5,850
12.5,853
12.6,854
12.6,851
12.7,848
12.7,854
12.8,857
12.9,856
12.9,855
13.0,848
13.0,857
13.1,855
13.1,851
13.2,852
13.2,848
13.3,854
13.3,853
13.4,850
13.4,852
13.5,854
13.5,854
13.6,851
13.6,850
13.7,853
13.7,855
13.8,852
13.8,850
13.9,852
13.9,854
14.0,854
14.0,850
14.1,852
14.1,853
14.2,855
14.2,852
14.3,850
14.3,853
14.4,854
14.4,852
14.5,851
14.5,852
14.6,854
14.6,854
14.7,852
14.7,851
14.8,853
14.8,855
14.9,853
14.9,849
15.0,852
15.0,854
15.1,854
15.1,850
15.2,851
15.2,853
15.3,855
15.3,850
15.4,849
15.4,853
15.5,853
15.5,857
15.6,850
15.6,856
15.7,852
15.7,850
15.8,847
15.8,851
15.9,854
15.9,854
16.0,852
16.0,850
16.1,852
16.1,854
16.2,853
16.2,850
16.3,851
16.3,854
16.4,853
16.4,851
16.5,850
